CompanyName,Name,Legal
COWRY SECURITIES LIMITED,COWRY SECURITIES,LIMITED
CENTRAL SECURITIES CLEARING SYSTEM PLC,CENTRAL SECURITIES CLEARING SYSTEM,PLC
ECL ASSET MANAGEMENT LIMITED,ECL ASSET MANAGEMENT,LIMITED
EUROCOMM SECURITIES LIMITED,EUROCOMM SECURITIES,LIMITED
STANBIC IBTC BANK PLC,STANBIC IBTC BANK,PLC
FORTRESS CAPITAL LIMITED,FORTRESS CAPITAL,LIMITED
SIGNET INVESTMENTS AND SECURITIES LTD,SIGNET INVESTMENTS AND SECURITIES,LTD
ICON STOCKBROKERS LIMITED,ICON STOCKBROKERS,LIMITED
MUTUAL ALLIANCE AND INVESTMENTS LIMITED,MUTUAL ALLIANCE AND INVESTMENTS,LIMITED
CITI INVESTMENT CAPITAL LIMITED,CITI INVESTMENT CAPITAL,LIMITED
EDC SECURITIES LIMITED,EDC SECURITIES,LIMITED
ZENITH SECURITIES LIMITED,ZENITH SECURITIES,LIMITED
ARTHUR STEVEN ASSET MANAGEMENT LIMITED,ARTHUR STEVEN ASSET MANAGEMENT,LIMITED
FSDH SECURITIES LIMITED,FSDH SECURITIES,LIMITED
ASSOCIATED ASSET MANAGERS LIMITED,ASSOCIATED ASSET MANAGERS,LIMITED
EDGEFIELD CAPITAL MANAGEMENT LIMITED,EDGEFIELD CAPITAL MANAGEMENT,LIMITED
IMPERIAL ASSET MANAGERS LIMITED,IMPERIAL ASSET MANAGERS,LIMITED
APEL ASSET LIMITED,APEL ASSET,LIMITED
GTI SECURITIES LIMTED,GTI SECURITIES LIMTED,
ATLANTIC SHRIMPERS LIMITED,ATLANTIC SHRIMPERS,LIMITED
SPRING TRUST AND SECURITIES LTD,SPRING TRUST AND SECURITIES,LTD
CSL STOCKBROKERS LIMITED,CSL STOCKBROKERS,LIMITED
NEIMETH INTERNATIONAL PHARMACEUTICALS PLC,NEIMETH INTERNATIONAL PHARMACEUTICALS,PLC
INDEPENDENT SECURITIES LIMITED,INDEPENDENT SECURITIES,LIMITED
CASHVILLE INVESTMENTS AND SECURITIES LTD,CASHVILLE INVESTMENTS AND SECURITIES,LTD
PARTNERSHIP SECURITIES LIMITED,PARTNERSHIP SECURITIES,LIMITED
PHRONESIS SECURITIES LIMITED,PHRONESIS SECURITIES,LIMITED
INVESTMENT CENTRE LIMITED,INVESTMENT CENTRE,LIMITED
GLOBAL ASSET MANAGEMENT NIG LTD,GLOBAL ASSET MANAGEMENT NIG,LTD
INVESTMENT ONE STOCKBROKERS INTL LTD,INVESTMENT ONE STOCKBROKERS INTL,LTD
CENTREPOINT INVESTMENTS LIMITED,CENTREPOINT INVESTMENTS,LIMITED
CROWN CAPITAL LIMITED,CROWN CAPITAL,LIMITED
MBL FINANCIAL SERVICES LIMITED,MBL FINANCIAL SERVICES,LIMITED
HEDGE SECURITIES AND INVESTMENTS COMPANY LIMITED,HEDGE SECURITIES AND INVESTMENTS COMPANY,LIMITED
LIGHTHOUSE ASSET MANAGEMENT LIMITED,LIGHTHOUSE ASSET MANAGEMENT,LIMITED
KUNDILA FINANCE SERVICES LTD,KUNDILA FINANCE SERVICES,LTD
NIGERIAN STOCKBROKERS LIMITED,NIGERIAN STOCKBROKERS,LIMITED
DYNAMIC PORTFOLIO LIMITED,DYNAMIC PORTFOLIO,LIMITED
TRW STOCKBROKERS LIMITED,TRW STOCKBROKERS,LIMITED
KOFANA SECURITIES AND INVESTMENT LTD,KOFANA SECURITIES AND INVESTMENT,LTD
MAYFIELD INVESTMENT LIMITED,MAYFIELD INVESTMENT,LIMITED
CASHCRAFT SECURITIES LTD,CASHCRAFT SECURITIES,LTD
RESORT SECURITIES AND TRUST LIMITED,RESORT SECURITIES AND TRUST,LIMITED
NETWORK CAPITAL LIMITED,NETWORK CAPITAL,LIMITED
FIRST INTEGRATED CAPITAL MANAGEMENT LIMITED,FIRST INTEGRATED CAPITAL MANAGEMENT,LIMITED
SPRINGBSPRINGBOARD TRUST AND INVESTMENT LTD,SPRINGBSPRINGBOARD TRUST AND INVESTMENT,LTD
CAPITAL ASSETS LIMITED,CAPITAL ASSETS,LIMITED
STANBIC IBTC STOCKBROKERS LIMITED,STANBIC IBTC STOCKBROKERS,LIMITED
MAXIFUND INVESTMENTS AND SECURITIES PLC,MAXIFUND INVESTMENTS AND SECURITIES,PLC
ROYAL GUARANTY AND TRUST LIMITED,ROYAL GUARANTY AND TRUST,LIMITED
TRADELINK SECURITIES LTD,TRADELINK SECURITIES,LTD
CORDROS CAPITAL LIMITED,CORDROS CAPITAL,LIMITED
RAINBOW SECURITIES AND INVESTMENT CO LTD,RAINBOW SECURITIES AND INVESTMENT CO,LTD
MARINA SECURITIES STOCKBROKING SERVICES LIMITED,MARINA SECURITIES STOCKBROKING SERVICES,LIMITED
MORGAN CAPITAL SECURITIES LIMITED,MORGAN CAPITAL SECURITIES,LIMITED
TRADERS TRUST AND INVESTMENT CO LTD,TRADERS TRUST AND INVESTMENT CO,LTD
CAMRY SECURITIES LIMITED,CAMRY SECURITIES,LIMITED
PINEFIELDS INVESTMENT SERVICES LIMITED,PINEFIELDS INVESTMENT SERVICES,LIMITED
ICON STOCKBROKERS LIMITED,ICON STOCKBROKERS,LIMITED
MBC SECURITIES LTD,MBC SECURITIES,LTD
LEAD SECURITIES AND INVESTMENT LIMITED,LEAD SECURITIES AND INVESTMENT,LIMITED
NEW PRUDENTIAL MORTGAGE BANK LTD,NEW PRUDENTIAL MORTGAGE BANK,LTD
EFCP LIMITED,EFCP,LIMITED
ZION STOCKBROKERS AND SECURITIES LTD,ZION STOCKBROKERS AND SECURITIES,LTD
FBC TRUST AND SECURITIES LTD,FBC TRUST AND SECURITIES,LTD
CHARTWELL SECURITIES LIMITED,CHARTWELL SECURITIES,LIMITED
FBN SECURITIES LIMITED,FBN SECURITIES,LIMITED
TRUSTHOUSE INVESTMENTS LIMITED,TRUSTHOUSE INVESTMENTS,LIMITED
UNEX CAPITAL LIMITED,UNEX CAPITAL,LIMITED
GREENWICH SECURITIES LTD,GREENWICH SECURITIES,LTD
ICMG SECURITIES LIMITED,ICMG SECURITIES,LIMITED
ARM SECURITIES LTD,ARM SECURITIES,LTD
NIGERIAN INTERNATIONAL SECURITIES LIMITED,NIGERIAN INTERNATIONAL SECURITIES,LIMITED
ANCHORAGE SECURITIES AND FINANCE LIMITED,ANCHORAGE SECURITIES AND FINANCE,LIMITED
TOMIL TRUST LIMITED,TOMIL TRUST,LIMITED
INVESTMENT SHARK AND ASSET MANAGEMENT LIMITED,INVESTMENT SHARK AND ASSET MANAGEMENT,LIMITED
ENTERPRISE STOCKBROKERS PLC,ENTERPRISE STOCKBROKERS,PLC
PYRAMID SECURITIES LIMITED,PYRAMID SECURITIES,LIMITED
SFC SECURITIES LIMITED,SFC SECURITIES,LIMITED
SFC SECURITIES LIMITED,SFC SECURITIES,LIMITED
SKYVIEW CAPITAL LIMITED,SKYVIEW CAPITAL,LIMITED
TRANSWORLD INVESTMENT AND SECURITIES LIMITED,TRANSWORLD INVESTMENT AND SECURITIES,LIMITED
FIDELITY FINANCE COMPANY LIMITED,FIDELITY FINANCE COMPANY,LIMITED
PIVOT CAPITAL LIMITED,PIVOT CAPITAL,LIMITED
ROYAL TRUST SECURITIES LIMITED,ROYAL TRUST SECURITIES,LIMITED
CAPITAL TRUST BROKERS LIMITED,CAPITAL TRUST BROKERS,LIMITED
CAPITAL TRUST BROKERS LIMITED,CAPITAL TRUST BROKERS,LIMITED
RENCAP SECURITIES NIGERIA LIMITED,RENCAP SECURITIES NIGERIA,LIMITED
EXPRESS PORTFOLIO SERVICES LIMITED,EXPRESS PORTFOLIO SERVICES,LIMITED
PILOT SECURITIES LIMITED,PILOT SECURITIES,LIMITED
TOWER ASSETS MANAGEMENT LIMITED,TOWER ASSETS MANAGEMENT,LIMITED
PROMINENT SECURITIES LIMITED,PROMINENT SECURITIES,LIMITED
EQUITY CAPITAL SOLUTIONS LIMITED,EQUITY CAPITAL SOLUTIONS,LIMITED
UNION CAPITAL MARKETS LIMITED,UNION CAPITAL MARKETS,LIMITED
SMADAC SECURITIES LIMITED,SMADAC SECURITIES,LIMITED
GRUENE CAPITAL LIMITED,GRUENE CAPITAL,LIMITED
CORE TRUST AND INVESTMENT LIMITED,CORE TRUST AND INVESTMENT,LIMITED
DOMINION TRUST LIMITED,DOMINION TRUST,LIMITED
PLANET CAPITAL LIMITED,PLANET CAPITAL,LIMITED
LONGTERM GLOBAL CAPITAL LIMITED,LONGTERM GLOBAL CAPITAL,LIMITED
EXPRESS DISCOUNT ASSET MANAGEMENT LIMITED,EXPRESS DISCOUNT ASSET MANAGEMENT,LIMITED
DE-LORDS SECURITIES LIMITED,DE-LORDS SECURITIES,LIMITED
ROYAL CREST FINANCE LIMITED,ROYAL CREST FINANCE,LIMITED
AFRICAN ALLIANCE STOCKBORKERS LIMITED,AFRICAN ALLIANCE STOCKBORKERS,LIMITED
GIDAUNIYA INVESTMENT AND SECURITIES LIMITED,GIDAUNIYA INVESTMENT AND SECURITIES,LIMITED
GUARANTY TRUST BANK PLC,GUARANTY TRUST BANK,PLC
LAMBETH TRUST AND INVESTMENT COMPANY LIMITED,LAMBETH TRUST AND INVESTMENT COMPANY,LIMITED
SOLID-ROCK SECURITIES AND INVESTMENT PLC,SOLID-ROCK SECURITIES AND INVESTMENT,PLC
GLOBALVIEW CAPITAL LIMITED,GLOBALVIEW CAPITAL,LIMITED
KEDARI CAPITAL LIMITED,KEDARI CAPITAL,LIMITED
SECURITIES AFRICA FINANCIAL LIMITED,SECURITIES AFRICA FINANCIAL,LIMITED
HARMONY SECURITIES LIMITED,HARMONY SECURITIES,LIMITED
HERITAGE CAPITAL MARKETS LIMITED,HERITAGE CAPITAL MARKETS,LIMITED
STACO INSURANCE PLC,STACO INSURANCE,PLC
UBA SECURITIES LIMITED,UBA SECURITIES,LIMITED
GUINEA INSURANCE PLC,GUINEA INSURANCE,PLC
INFINITY TRUST MORTGAGE BANK PLC,INFINITY TRUST MORTGAGE BANK,PLC
EL-ELYON ALLIANCE AND SECURITIES LIMITED,EL-ELYON ALLIANCE AND SECURITIES,LIMITED
TYNDALE SECURITIES LIMITED,TYNDALE SECURITIES,LIMITED
HEARTBEAT INVESTMENT LIMITED,HEARTBEAT INVESTMENT,LIMITED
READINGS INVESTMENTS LIMITED,READINGS INVESTMENTS,LIMITED
NIGERIAN BREWERIES PLC,NIGERIAN BREWERIES,PLC
CORNERSTONE INSURANCE PLC,CORNERSTONE INSURANCE,PLC
UACN PROPERTY DEVELOPMENT COMPANY PLC,UACN PROPERTY DEVELOPMENT COMPANY,PLC
FINMAL FINANCE SERVICES LIMITED,FINMAL FINANCE SERVICES,LIMITED
NOVA FINANCE AND SECURITIES LIMITED,NOVA FINANCE AND SECURITIES,LIMITED
INTEGRATED TRUST AND INVESTMENT LIMITED,INTEGRATED TRUST AND INVESTMENT,LIMITED
UNITED BANK FOR AFRICA PLC,UNITED BANK FOR AFRICA,PLC
CAPITAL HOTELS PLC,CAPITAL HOTELS,PLC
FLOUR MILLS OF NIGERIA PLC,FLOUR MILLS OF NIGERIA,PLC
WSTC FINANCIAL SERVICES LIMITED,WSTC FINANCIAL SERVICES,LIMITED
Securities Africa Limited,Securities Africa,Limited
AB MICROFINANCE BANK NIGERIA LIMITED,AB MICROFINANCE BANK NIGERIA,LIMITED
NETWORTH SECURITIES AND FINANCE LIMITED,NETWORTH SECURITIES AND FINANCE,LIMITED
PAC SECURITIES LIMITED,PAC SECURITIES,LIMITED
ARBICO PLC,ARBICO,PLC
AFRICAN ALLIANCE INSURANCE PLC,AFRICAN ALLIANCE INSURANCE,PLC
R T BRISCOE NIGERIA PLC,R T BRISCOE NIGERIA,PLC
CONSOLIDATED HALLMARK INSURANCE PLC,CONSOLIDATED HALLMARK INSURANCE,PLC
NESTLE NIGERIA PLC,NESTLE NIGERIA,PLC
C I LEASING PLC,C I LEASING,PLC
MERISTEM STOCKBROKERS LIMITED,MERISTEM STOCKBROKERS,LIMITED
GUINNESS NIGERIA PLC,GUINNESS NIGERIA,PLC
AFRICAN ALLIANCE INSURANCE PLC,AFRICAN ALLIANCE INSURANCE,PLC
NIGERIAN BREWERIES PLC,NIGERIAN BREWERIES,PLC
AFRICA PRUDENTIAL PLC,AFRICA PRUDENTIAL,PLC
CARDINALSTONE SECURITIES LIMITED,CARDINALSTONE SECURITIES,LIMITED
LIVESTOCK FEEDS PLC,LIVESTOCK FEEDS,PLC
DUNN LOREN MERRIFIELD SECURITIES LIMITED,DUNN LOREN MERRIFIELD SECURITIES,LIMITED
AGRO TRADERS LIMITED,AGRO TRADERS,LIMITED
PLANTATION INDUSTRIES LIMITED,PLANTATION INDUSTRIES,LIMITED
PORTLAND PAINTS AND PRODUCTS NIGERIA PLC,PORTLAND PAINTS AND PRODUCTS NIGERIA,PLC
UAC OF NIGERIA PLC,UAC OF NIGERIA,PLC
LEADWAY CAPITAL AND TRUSTS LIMITED/SIM CAPITAL ALLIANCE VALUE FUND,LEADWAY CAPITAL AND TRUSTS LIMITED/SIM CAPITAL ALLIANCE VALUE FUND,
SUNTRUST BANK NIGERIA LIMITED,SUNTRUST BANK NIGERIA,LIMITED
AIICO INSURANCE PLC,AIICO INSURANCE,PLC
ETRANZACT INTERNATIONAL PLC,ETRANZACT INTERNATIONAL,PLC
NEWDEVCO INVESTMENT AND SECURITIES COMPANY LIMITED,NEWDEVCO INVESTMENT AND SECURITIES COMPANY,LIMITED
DANGOTE FLOUR MILLS PLC,DANGOTE FLOUR MILLS,PLC
PARTHIAN PARTNERS LIMITED,PARTHIAN PARTNERS,LIMITED
AIC LIMITED,AIC,LIMITED
ARM INVESTMENT MANAGERS LIMITED,ARM INVESTMENT MANAGERS,LIMITED
CARDINALSTONE PARTNERS LIMITED,CARDINALSTONE PARTNERS,LIMITED
ELIXIR ASSET MANAGEMENT LIMITED,ELIXIR ASSET MANAGEMENT,LIMITED
ELIXIR SECURITIES LIMITED,ELIXIR SECURITIES,LIMITED
LINKUP INVESTMENTS LIMITED,LINKUP INVESTMENTS,LIMITED
ELIXIR INVESTMENT PARTNERS LIMITED,ELIXIR INVESTMENT PARTNERS,LIMITED
SHELL NIG. CLOSED PENSION FUND ADMINISTRATOR LTD,SHELL NIG. CLOSED PENSION FUND ADMINISTRATOR,LTD
BERGER PAINTS NIGERIA PLC,BERGER PAINTS NIGERIA,PLC
MAGNARTIS FINANCE AND INVESTMENT LTD,MAGNARTIS FINANCE AND INVESTMENT,LTD
AMNI INTERNATIONAL PETROLEUM DEVELOPMENT COMPANY LIMITED,AMNI INTERNATIONAL PETROLEUM DEVELOPMENT COMPANY,LIMITED
INVESTAT CAPITAL MANAGEMENT LIMITED,INVESTAT CAPITAL MANAGEMENT,LIMITED
VETIVA FUND MANAGERS LIMITED,VETIVA FUND MANAGERS,LIMITED
FIRST CITY ASSET MANAGEMENT LIMITED,FIRST CITY ASSET MANAGEMENT,LIMITED
WEBB ENERGY LIMITED,WEBB ENERGY,LIMITED
NSL CAPITAL PARTNERS LIMITED,NSL CAPITAL PARTNERS,LIMITED
COMERCIO PARTNERS,COMERCIO PARTNERS,
COMERCIO PARTNERS ASSET MANAGEMENT,COMERCIO PARTNERS ASSET MANAGEMENT,
VETIVA SECURITIES LIMITED,VETIVA SECURITIES,LIMITED
SECURITIES AND CAPITAL MANAGEMENT COMPANY LIMITED,SECURITIES AND CAPITAL MANAGEMENT COMPANY,LIMITED
VETIVA CAPITAL MANAGEMENT LIMITED,VETIVA CAPITAL MANAGEMENT,LIMITED
UNION BANK OF NIGERIA PLC,UNION BANK OF NIGERIA,PLC
OOHRHII GLOBAL SERVICES LTD,OOHRHII GLOBAL SERVICES,LTD
FSDH MERCHANT BANK LIMITED,FSDH MERCHANT BANK,LIMITED
ZENITH BANK PLC,ZENITH BANK,PLC
GERGETI LIMITED,GERGETI,LIMITED
FBNQUEST MERCHANT BANK LIMITED,FBNQUEST MERCHANT BANK,LIMITED
CORONATION MERCHANT BANK LIMITED,CORONATION MERCHANT BANK,LIMITED
TRANS-NATIONWIDE EXPRESS PLC,TRANS-NATIONWIDE EXPRESS,PLC
NEM INSURANCE PLC,NEM INSURANCE,PLC
FIDELITY BANK PLC,FIDELITY BANK,PLC
NIGERIA INTERNATIONAL BANK NOMINEES LIMITED,NIGERIA INTERNATIONAL BANK NOMINEES,LIMITED
ZENITH NOMINEES LIMITED,ZENITH NOMINEES,LIMITED
UBA NOMINEE LIMITED,UBA NOMINEE,LIMITED
AXA MANSARD INSURANCE PLC,AXA MANSARD INSURANCE,PLC
FIRST PENSION CUSTODIAN NIGERIA LIMITED,FIRST PENSION CUSTODIAN NIGERIA,LIMITED
VETIVA TRUSTEES LIMITED,VETIVA TRUSTEES,LIMITED
ACCESS BANK PLC,ACCESS BANK,PLC
EDC FUND MANAGEMENT LIMITED,EDC FUND MANAGEMENT,LIMITED
ZENITH PENSIONS CUSTODIAN LIMITED,ZENITH PENSIONS CUSTODIAN,LIMITED
ZENITH ASSETS MANAGEMENT LIMITED,ZENITH ASSETS MANAGEMENT,LIMITED
AFROMEDIA PLC,AFROMEDIA,PLC
TNOG OIL AND GAS LIMITED,TNOG OIL AND GAS,LIMITED
ZENITH CAPITAL LIMITED,ZENITH CAPITAL,LIMITED
GLAMSHIRE INVESTMENTS LIMITED,GLAMSHIRE INVESTMENTS,LIMITED
ECOBANK DEVELOPMENT COMPANY LIMITED,ECOBANK DEVELOPMENT COMPANY,LIMITED
INDORAMA ELEME FERTILIZER & CHEMICALS LIMITED,INDORAMA ELEME FERTILIZER & CHEMICALS,LIMITED
INVESTORS AND TRUST COMPANY LIMITED,INVESTORS AND TRUST COMPANY,LIMITED
CITIBANK NIGERIA LIMITED,CITIBANK NIGERIA,LIMITED
UNITY BANK PLC,UNITY BANK,PLC
AFRINVEST ASSET MANAGEMENT LIMITED,AFRINVEST ASSET MANAGEMENT,LIMITED
CHAPEL HILL DENHAM MANAGEMENT LIMITED,CHAPEL HILL DENHAM MANAGEMENT,LIMITED
CHAPEL HILL DENHAM ADVISORY LIMITED,CHAPEL HILL DENHAM ADVISORY,LIMITED
ZENITH GENERAL INSURANCE COMPANY LIMITED,ZENITH GENERAL INSURANCE COMPANY,LIMITED
RMB NIGERIA STOCKBROKERS LIMITED,RMB NIGERIA STOCKBROKERS,LIMITED
DELEON INVESTMENT AND ASSETS MANAGEMENT LIMITED,DELEON INVESTMENT AND ASSETS MANAGEMENT,LIMITED
FINONE TECHNOLOGIES LIMITED,FINONE TECHNOLOGIES,LIMITED
AFRINVEST (WEST AFRICA) LIMITED,AFRINVEST (WEST AFRICA),LIMITED
FIRST ASSET MANAGEMENT LIMITED,FIRST ASSET MANAGEMENT,LIMITED
PSL CAPITAL LIMITED,PSL CAPITAL,LIMITED
BONO ENERGY LIMITED,BONO ENERGY,LIMITED
AFFINITI CAPITAL MANAGEMENT LIMITED,AFFINITI CAPITAL MANAGEMENT,LIMITED
REGENCY ALLIANCE INSURANCE PLC,REGENCY ALLIANCE INSURANCE,PLC
CREDENT INVESTMENT MANAGERS LTD,CREDENT INVESTMENT MANAGERS,LTD
LEAD ASSET MANAGEMENT LIMITED,LEAD ASSET MANAGEMENT,LIMITED
FIRST NOMINEES NIGERIA LIMITED,FIRST NOMINEES NIGERIA,LIMITED
CREDENT CAPITAL AND ADVISORY LIMITED,CREDENT CAPITAL AND ADVISORY,LIMITED
MTN NIGERIA COMMUNICATIONS PLC,MTN NIGERIA COMMUNICATIONS,PLC
DANE INVESTMENTS LIMITED,DANE INVESTMENTS,LIMITED
RAK UNITY PETROLEUM PLC,RAK UNITY PETROLEUM,PLC
RAND MERCHANT BANK NIGERIA LIMITED,RAND MERCHANT BANK NIGERIA,LIMITED
LOTUS CAPITAL LIMITED,LOTUS CAPITAL,LIMITED
EROTON EXPLORATION AND PRODUCTION COMPANY LIMITED,EROTON EXPLORATION AND PRODUCTION COMPANY,LIMITED
RMB NIGERIA NOMINEES LIMITED,RMB NIGERIA NOMINEES,LIMITED
ENERGIA LIMITED,ENERGIA,LIMITED
DUFIL PRIMA FOODS PLC,DUFIL PRIMA FOODS,PLC
FBN HOLDINGS PLC,FBN HOLDINGS,PLC
FBNQUEST TRUSTEES LIMITED,FBNQUEST TRUSTEES,LIMITED
MAINSTREET BANK CAPITAL LIMITED,MAINSTREET BANK CAPITAL,LIMITED
CITYCODE TRUST AND INVESTMENT LIMITED,CITYCODE TRUST AND INVESTMENT,LIMITED
EFG HERMES NIGERIA LIMITED,EFG HERMES NIGERIA,LIMITED
ROSTRUM INVESTMENT AND SECURITIES LIMITED,ROSTRUM INVESTMENT AND SECURITIES,LIMITED
TRUSTBANC CAPITAL MANAGEMENT LIMITED,TRUSTBANC CAPITAL MANAGEMENT,LIMITED
FSL SECURITIES LTD,FSL SECURITIES,LTD
ALONATI IDB LIMITED,ALONATI IDB,LIMITED
TITAN TRUST BANK LIMITED,TITAN TRUST BANK,LIMITED
BELUGA ENERGY LIMITED,BELUGA ENERGY,LIMITED
FCMB GROUP PLC,FCMB GROUP,PLC
FCMB PENSIONS LIMITED,FCMB PENSIONS,LIMITED
MAI AND NEL LTD,MAI AND NEL,LTD
GTI ASSET MANAGEMENT AND TRUST LIMITED,GTI ASSET MANAGEMENT AND TRUST,LIMITED
ECOBANK NIGERIA LIMITED,ECOBANK NIGERIA,LIMITED
DER ZUWACHS CREST CAPITAL LIMITED,DER ZUWACHS CREST CAPITAL,LIMITED
GLOBAL SPECTRUM SERVICES PLC,GLOBAL SPECTRUM SERVICES,PLC
ACCESS PENSION FUND CUSTODIAN LTD,ACCESS PENSION FUND CUSTODIAN,LTD
STANBIC IBTC HOLDINGS PLC,STANBIC IBTC HOLDINGS,PLC
NOVA COMMERCIAL BANK LIMITED,NOVA COMMERCIAL BANK,LIMITED
YUDERB INVESTMENTS AND SECURITIES LIMITED,YUDERB INVESTMENTS AND SECURITIES,LIMITED
FSDH HOLDING COMPANY LIMITED,FSDH HOLDING COMPANY,LIMITED
SIX THOUSAND INVESTMENTS LIMITED,SIX THOUSAND INVESTMENTS,LIMITED
WOSBAB ENERGY SOLUTION NIGERIA LIMITED,WOSBAB ENERGY SOLUTION NIGERIA,LIMITED
TECHINVEST LIMITED,TECHINVEST,LIMITED
PURE FLOUR MILLS LIMITED,PURE FLOUR MILLS,LIMITED
DE UNITED FOODS INDUSTRIES LIMITED,DE UNITED FOODS INDUSTRIES,LIMITED
STANBIC NOMINEES NIGERIA LIMITED,STANBIC NOMINEES NIGERIA,LIMITED
MEYER PLC,MEYER,PLC
OLAM NIGERIA LIMITED,OLAM NIGERIA,LIMITED
VITAFOAM NIGERIA PLC,VITAFOAM NIGERIA,PLC
JULIUS BERGER NIGERIA PLC,JULIUS BERGER NIGERIA,PLC
LAW UNION AND ROCK INSURANCE PLC,LAW UNION AND ROCK INSURANCE,PLC
NOTORE CHEMICAL INDUSTRIES PLC.,NOTORE CHEMICAL INDUSTRIES,PLC.
FRANK ANOVIC OIL AND GAS NIGERIA LIMITED,FRANK ANOVIC OIL AND GAS NIGERIA,LIMITED
MCNICHOLS CONSOLIDATED PLC,MCNICHOLS CONSOLIDATED,PLC
AZURA POWER WEST AFRICA LTD,AZURA POWER WEST AFRICA,LTD
CUSTODIAN AND ALLIED PLC,CUSTODIAN AND ALLIED,PLC
SKYMARK PARTNERS LIMITED,SKYMARK PARTNERS,LIMITED
COURTEVILLE BUSINESS SOLUTIONS PLC,COURTEVILLE BUSINESS SOLUTIONS,PLC
ROYAL SALT LIMITED,ROYAL SALT,LIMITED
MVAN CCO 1 LIMITED,MVAN CCO 1,LIMITED
UNIVERSAL INSURANCE PLC,UNIVERSAL INSURANCE,PLC
ELLINGTON NIGERIA LTD,ELLINGTON NIGERIA,LTD
METAL MANUFACTURING NIGERIA LIMITED,METAL MANUFACTURING NIGERIA,LIMITED
RED STAR EXPRESS PLC,RED STAR EXPRESS,PLC
CAFINT RESOURCES LIMITED,CAFINT RESOURCES,LIMITED
RELIANCE CHEMICAL PRODUCTS LIMITED,RELIANCE CHEMICAL PRODUCTS,LIMITED
NPF MICROFINANCE BANK PLC,NPF MICROFINANCE BANK,PLC
LOTUS BANK LIMITED,LOTUS BANK,LIMITED
IKUJE EQUITY TRADING LTD,IKUJE EQUITY TRADING,LTD
TIDDO SECURITIES LIMITED,TIDDO SECURITIES,LIMITED
CALYX SECURITIES LIMITED,CALYX SECURITIES,LIMITED
GREENWICH MERCHANT BANK LIMITED,GREENWICH MERCHANT BANK,LIMITED
STRUCTUREDSECURE GOLDINVEST SPV PLC,STRUCTUREDSECURE GOLDINVEST SPV,PLC
